sepal_length,sepal_width,petal_length,petal_width,label
5.8,4.0,1.2,0.2,Iris-setosa
5.1,2.5,3.0,1.1,Iris-versicolor
6.6,3.0,4.4,1.4,Iris-versicolor
5.4,3.9,1.3,0.4,Iris-setosa
7.9,3.8,6.4,2.0,Iris-virginica
6.3,3.3,4.7,1.6,Iris-versicolor
6.9,3.1,5.1,2.3,Iris-virginica
5.1,3.8,1.9,0.4,Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa
6.9,3.2,5.7,2.3,Iris-virginica
5.6,2.7,4.2,1.3,Iris-versicolor
5.4,3.9,1.7,0.4,Iris-setosa
7.1,3.0,5.9,2.1,Iris-virginica
6.4,3.2,4.5,1.5,Iris-versicolor
6.0,2.9,4.5,1.5,Iris-versicolor
4.4,3.2,1.3,0.2,Iris-setosa
5.8,2.6,4.0,1.2,Iris-versicolor
5.6,3.0,4.5,1.5,Iris-versicolor
5.4,3.4,1.5,0.4,Iris-setosa
5.0,3.2,1.2,0.2,Iris-setosa
5.5,2.6,4.4,1.2,Iris-versicolor
5.4,3.0,4.5,1.5,Iris-versicolor
6.7,3.0,5.0,1.7,Iris-versicolor
5.0,3.5,1.3,0.3,Iris-setosa
7.2,3.2,6.0,1.8,Iris-virginica
5.7,2.8,4.1,1.3,Iris-versicolor
5.5,4.2,1.4,0.2,Iris-setosa
5.1,3.8,1.5,0.3,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
6.3,2.5,5.0,1.9,Iris-virginica
6.1,3.0,4.6,1.4,Iris-versicolor
7.7,3.0,6.1,2.3,Iris-virginica
5.6,2.5,3.9,1.1,Iris-versicolor
6.4,2.8,5.6,2.1,Iris-virginica
5.8,2.8,5.1,2.4,Iris-virginica
5.3,3.7,1.5,0.2,Iris-setosa
5.5,2.3,4.0,1.3,Iris-versicolor
5.2,3.4,1.4,0.2,Iris-setosa
6.5,2.8,4.6,1.5,Iris-versicolor
6.7,2.5,5.8,1.8,Iris-virginica
6.8,3.0,5.5,2.1,Iris-virginica
5.1,3.5,1.4,0.3,Iris-setosa
6.0,2.2,5.0,1.5,Iris-virginica
6.3,2.9,5.6,1.8,Iris-virginica
6.6,2.9,4.6,1.3,Iris-versicolor
